elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000774, 5.000774, 27088, 561, 9582.9, 6567, 27776, 41695, 60129, 70227, 0
10.000699, 4.999925, 15194, 618, 17101.5, 12896, 44432, 65229, 94116, 107498, 0
15.000697, 4.999998, 12233, 550, 21539.0, 16802, 55407, 77761, 96706, 107498, 0
20.000698, 5.000001, 10625, 547, 24971.3, 19145, 64957, 93204, 116709, 132255, 0
25.000691, 4.999993, 9493, 539, 28063.2, 20220, 76030, 111498, 156932, 165462, 0
30.000693, 5.000002, 8720, 463, 30256.2, 23039, 78725, 114337, 143993, 162385, 0
35.000684, 4.999991, 8097, 540, 33032.4, 22026, 107740, 175831, 222948, 235047, 0
40.000697, 5.000013, 7790, 493, 34147.3, 25873, 90920, 125817, 184382, 220100, 0
45.000745, 5.000048, 7440, 619, 35889.2, 28138, 91778, 116504, 141039, 157309, 0
50.000693, 4.999948, 6958, 603, 38442.3, 26752, 113664, 180998, 204034, 225282, 0
55.000691, 4.999998, 6790, 503, 39427.7, 31841, 96547, 135799, 180972, 196501, 0
60.000695, 5.000004, 6505, 503, 41180.7, 31679, 113607, 155248, 194205, 201199, 0
65.000686, 4.999991, 6496, 544, 41376.3, 31463, 112601, 150535, 202539, 235027, 0
70.000701, 5.000015, 6156, 667, 43151.8, 31859, 126345, 169415, 201950, 212204, 0
75.000688, 4.999987, 5834, 621, 45983.7, 34847, 125750, 165746, 197885, 208493, 0
80.000699, 5.000011, 5815, 549, 46091.0, 34765, 120483, 155732, 192121, 216434, 0
85.000692, 4.999993, 5619, 549, 47246.7, 36099, 125859, 181130, 231674, 246925, 0
90.000691, 4.999999, 5541, 622, 48133.3, 37869, 124345, 166634, 197070, 218614, 0
95.000696, 5.000005, 5443, 622, 49454.7, 39167, 127211, 166180, 193373, 216020, 0
100.00069, 4.999994, 5243, 717, 50784.9, 39476, 132938, 180145, 258382, 274822, 0
105.000696, 5.000006, 5262, 540, 50639.1, 39576, 132267, 179150, 225443, 236341, 0
110.000695, 4.999999, 5075, 600, 53353.2, 40955, 139543, 196947, 239697, 258983, 0
115.000704, 5.000009, 5067, 734, 52863.0, 42774, 134902, 181041, 206717, 232485, 0
120.000692, 4.999988, 4831, 776, 55384.0, 44052, 143242, 192092, 235316, 250151, 0
125.000699, 5.000007, 4895, 705, 55071.1, 44482, 141894, 201081, 238794, 250013, 0
130.000688, 4.999989, 4667, 573, 56792.3, 44780, 152208, 223506, 274420, 286212, 0
135.000695, 5.000007, 4539, 996, 58040.2, 44772, 162553, 232891, 330694, 349274, 0
140.000683, 4.999988, 4597, 843, 59043.7, 45886, 155908, 235174, 332447, 367801, 0
145.000695, 5.000012, 4529, 544, 59701.9, 45140, 168107, 212983, 260750, 274330, 0
150.000691, 4.999996, 4503, 565, 60228.6, 46030, 161379, 214651, 279614, 319898, 0
155.000698, 5.000007, 4384, 776, 61856.7, 41311, 179569, 344687, 414327, 449675, 0
160.000693, 4.999995, 4477, 740, 60791.4, 49280, 152742, 254167, 344687, 370640, 0
165.000688, 4.999995, 4406, 502, 60912.7, 45932, 156823, 295012, 336558, 345973, 0
170.000707, 5.000019, 4280, 899, 61578.2, 44317, 182648, 258117, 327841, 345973, 0
175.000708, 5.000001, 4233, 666, 64709.2, 48449, 171228, 250681, 311464, 343222, 0
180.000709, 5.000001, 4310, 621, 62262.8, 47559, 156964, 215261, 309908, 321896, 0
181.000628, 0.999919, 834, 621, 62214.3, 48235, 154627, 209844, 309908, 321896, 0
