elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000774, 5.000774, 6692, 695, 8627.8, 5611, 26434, 40392, 54625, 66592, 0
10.000699, 4.999925, 3793, 609, 14030.5, 10162, 40920, 62176, 87491, 102176, 0
15.000697, 4.999998, 3048, 612, 17468.6, 12555, 51550, 73490, 90851, 102176, 0
20.000698, 5.000001, 2642, 526, 19811.9, 13902, 59361, 89162, 116376, 129220, 0
25.000691, 4.999993, 2404, 591, 22125.6, 13858, 70384, 108100, 149989, 159894, 0
30.000693, 5.000002, 2305, 535, 23685.5, 16737, 72432, 102932, 137472, 145140, 0
35.000684, 4.999991, 2012, 481, 25464.9, 15654, 90922, 152109, 219496, 228305, 0
40.000697, 5.000013, 1977, 551, 26373.9, 17866, 84783, 116921, 180996, 203091, 0
45.000745, 5.000048, 1785, 445, 28205.4, 20264, 85904, 111312, 133155, 140887, 0
50.000693, 4.999948, 1729, 511, 30185.1, 17645, 103285, 170981, 204915, 220381, 0
55.000691, 4.999998, 1727, 487, 30605.5, 22221, 88178, 120241, 177767, 185858, 0
60.000695, 5.000004, 1643, 536, 31284.5, 22093, 102169, 138041, 187714, 188568, 0
65.000686, 4.999991, 1603, 503, 33298.2, 22742, 106953, 140704, 197647, 219182, 0
70.000701, 5.000015, 1580, 525, 34182.6, 22252, 115274, 163898, 197512, 211326, 0
75.000688, 4.999987, 1442, 479, 34034.2, 22939, 110616, 154620, 193227, 197633, 0
80.000699, 5.000011, 1456, 479, 35608.3, 23565, 108960, 144978, 173163, 199121, 0
85.000692, 4.999993, 1427, 543, 36636.7, 23314, 120060, 180390, 203565, 215410, 0
90.000691, 4.999999, 1426, 546, 36791.8, 25865, 114849, 158939, 179230, 196336, 0
95.000696, 5.000005, 1334, 488, 36652.6, 24661, 117145, 154065, 184305, 191807, 0
100.00069, 4.999994, 1352, 572, 39034.1, 27482, 115100, 161291, 203563, 218117, 0
105.000696, 5.000006, 1320, 469, 39561.3, 27700, 117586, 168092, 224589, 227683, 0
110.000695, 4.999999, 1213, 558, 40056.4, 27838, 122817, 189252, 227906, 234204, 0
115.000704, 5.000009, 1280, 530, 41715.9, 30391, 129594, 174903, 212718, 221486, 0
120.000692, 4.999988, 1241, 557, 42470.8, 31795, 127802, 179982, 225577, 234619, 0
125.000699, 5.000007, 1154, 566, 45323.9, 32298, 136861, 195289, 214613, 220686, 0
130.000688, 4.999989, 1218, 556, 45333.2, 30460, 145049, 217558, 260780, 264665, 0
135.000695, 5.000007, 1146, 555, 46252.1, 31274, 146598, 207275, 322089, 329485, 0
140.000683, 4.999988, 1108, 495, 46427.2, 30765, 147901, 228000, 345388, 352160, 0
145.000695, 5.000012, 1123, 543, 45717.8, 31043, 152306, 195528, 237282, 258972, 0
150.000691, 4.999996, 1111, 541, 44171.2, 29751, 134264, 194148, 248276, 254879, 0
155.000698, 5.000007, 1046, 492, 45898.4, 27984, 147595, 351040, 416479, 436297, 0
160.000693, 4.999995, 1130, 565, 47737.2, 33746, 142289, 217193, 307589, 362145, 0
165.000688, 4.999995, 1099, 490, 46430.5, 33932, 135947, 262114, 307432, 323398, 0
170.000707, 5.000019, 1106, 492, 48986.8, 32013, 164971, 237483, 286954, 306032, 0
175.000708, 5.000001, 1036, 492, 48235.4, 33601, 160007, 234163, 286954, 298151, 0
180.000709, 5.000001, 1058, 535, 48831.6, 32749, 144531, 216142, 304562, 310982, 0
181.000628, 0.999919, 237, 535, 47166.1, 31469, 140785, 193904, 304562, 310982, 0
