elapsed, window, total, successful, failed
5.000774, 5.000774, 33780, 33780, 0
10.000699, 4.999925, 18987, 18987, 0
15.000697, 4.999998, 15281, 15281, 0
20.000698, 5.000001, 13267, 13267, 0
25.000691, 4.999993, 11897, 11897, 0
30.000693, 5.000002, 11025, 11025, 0
35.000684, 4.999991, 10109, 10109, 0
40.000697, 5.000013, 9767, 9767, 0
45.000745, 5.000048, 9225, 9225, 0
50.000693, 4.999948, 8687, 8687, 0
55.000691, 4.999998, 8517, 8517, 0
60.000695, 5.000004, 8148, 8148, 0
65.000686, 4.999991, 8099, 8099, 0
70.000701, 5.000015, 7736, 7736, 0
75.000688, 4.999987, 7276, 7276, 0
80.000699, 5.000011, 7271, 7271, 0
85.000692, 4.999993, 7046, 7046, 0
90.000691, 4.999999, 6967, 6967, 0
95.000696, 5.000005, 6777, 6777, 0
100.00069, 4.999994, 6595, 6595, 0
105.000696, 5.000006, 6582, 6582, 0
110.000695, 4.999999, 6288, 6288, 0
115.000704, 5.000009, 6347, 6347, 0
120.000692, 4.999988, 6072, 6072, 0
125.000699, 5.000007, 6049, 6049, 0
130.000688, 4.999989, 5885, 5885, 0
135.000695, 5.000007, 5685, 5685, 0
140.000683, 4.999988, 5705, 5705, 0
145.000695, 5.000012, 5652, 5652, 0
150.000691, 4.999996, 5614, 5614, 0
155.000698, 5.000007, 5430, 5430, 0
160.000693, 4.999995, 5607, 5607, 0
165.000688, 4.999995, 5505, 5505, 0
170.000707, 5.000019, 5386, 5386, 0
175.000708, 5.000001, 5269, 5269, 0
180.000709, 5.000001, 5368, 5368, 0
181.000628, 0.999919, 1071, 1071, 0
