elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000527, 5.000527, 10886, 8703, 29186.1, 28566, 34800, 45495, 57970, 63724, 0
10.001455, 5.000928, 11062, 4709, 28872.6, 28406, 33691, 39749, 58053, 61950, 0
15.001449, 4.999994, 11179, 11967, 28572.9, 28198, 32644, 38691, 44243, 53866, 0
20.001445, 4.999996, 11089, 17857, 28704.9, 28230, 32584, 40777, 48176, 58873, 0
25.001453, 5.000008, 11218, 16063, 28421.7, 28183, 30675, 36216, 45951, 54262, 0
30.001448, 4.999995, 11220, 13172, 28486.6, 28257, 30722, 38957, 46662, 58802, 0
35.001452, 5.000004, 11172, 11018, 28557.4, 28326, 31853, 37256, 41528, 47103, 0
40.001448, 4.999996, 11262, 8086, 28332.6, 28092, 31171, 37791, 50259, 57614, 0
45.001452, 5.000004, 11263, 6639, 28316.1, 28144, 30231, 36998, 45220, 49559, 0
50.001505, 5.000053, 11206, 6791, 28547.4, 28387, 31568, 36559, 41601, 47743, 0
55.001446, 4.999941, 11162, 10573, 28650.3, 28493, 31470, 37001, 41993, 46421, 0
60.001459, 5.000013, 11233, 8781, 28460.9, 28440, 30539, 34092, 37556, 46149, 0
61.002346, 1.000887, 2229, 13167, 28534.8, 28478, 30696, 35434, 41710, 46149, 0
