elapsed, window, total, successful, failed
5.000623, 5.000623, 9356, 9356, 0
10.00162, 5.000997, 10029, 10029, 0
15.001632, 5.000012, 10321, 10321, 0
20.001626, 4.999994, 10242, 10242, 0
25.00163, 5.000004, 9881, 9881, 0
30.001627, 4.999997, 9033, 9033, 0
35.001623, 4.999996, 10068, 10068, 0
40.001625, 5.000002, 10274, 10274, 0
45.001624, 4.999999, 10319, 10319, 0
50.001626, 5.000002, 9221, 9221, 0
55.001624, 4.999998, 10298, 10298, 0
60.001626, 5.000002, 10244, 10244, 0
61.002163, 1.000537, 2062, 2062, 0
