elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000802, 5.000802, 10359, 10519, 30647.9, 30848, 31836, 32580, 34898, 36661, 0
10.000808, 5.000006, 10761, 1456, 29697.9, 29891, 31199, 32846, 44634, 47769, 0
15.000802, 4.999994, 10524, 3466, 30369.4, 30497, 32084, 34555, 38508, 40119, 0
20.000794, 4.999992, 10631, 1541, 30069.6, 30179, 31734, 32703, 33668, 36508, 0
25.000814, 5.00002, 10589, 8936, 30186.0, 30367, 31572, 32552, 37841, 42759, 0
30.000811, 4.999997, 10632, 3201, 30079.9, 30342, 31833, 33992, 40249, 42885, 0
35.000809, 4.999998, 10623, 16142, 30093.9, 30111, 31491, 32211, 41293, 43295, 0
40.0008, 4.999991, 10496, 4998, 30452.1, 30577, 31702, 32358, 34942, 42171, 0
45.000798, 4.999998, 10592, 4552, 30165.9, 30272, 31705, 33003, 35558, 37328, 0
50.0008, 5.000002, 10487, 5412, 30482.8, 30666, 31965, 34275, 39199, 52524, 0
55.000811, 5.000011, 10463, 2227, 30558.1, 30811, 31949, 32640, 34444, 44248, 0
60.000799, 4.999988, 10452, 7485, 30584.0, 30725, 31803, 32786, 35603, 39302, 0
61.001244, 1.000445, 2112, 5840, 30600.3, 30739, 31854, 32438, 33915, 35991, 0
