elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
4.999978, 4.999978, 10249, 6984, 15542.9, 15534, 16275, 16698, 18739, 22245, 0
10.000896, 5.000918, 10402, 2024, 15363.5, 15391, 16228, 17224, 19649, 20449, 0
15.000895, 4.999999, 10389, 1725, 15368.6, 15378, 16237, 17251, 22444, 23223, 0
20.000898, 5.000003, 10248, 1949, 15589.5, 15614, 16421, 16871, 17752, 22712, 0
25.000897, 4.999999, 10145, 1646, 15744.6, 15782, 16541, 17030, 17775, 18966, 0
30.000891, 4.999994, 10129, 2224, 15780.0, 15841, 16587, 17216, 20190, 21646, 0
35.000907, 5.000016, 10213, 2102, 15655.0, 15698, 16434, 16846, 17502, 24961, 0
40.0009, 4.999993, 10398, 4651, 15367.9, 15406, 16392, 17471, 27089, 27279, 0
45.000892, 4.999992, 10325, 1875, 15438.4, 15528, 16459, 17563, 26071, 27097, 0
50.000898, 5.000006, 10581, 2008, 15138.2, 15181, 16264, 17655, 24289, 27481, 0
55.000892, 4.999994, 10576, 1532, 15096.5, 15126, 16041, 16734, 19638, 22623, 0
60.000891, 4.999999, 10326, 1781, 15452.8, 15537, 16334, 17083, 19844, 21182, 0
61.000847, 0.999956, 2048, 1946, 15498.9, 15570, 16462, 17395, 20590, 24088, 0
