elapsed, window, total, successful, failed
4.999978, 4.999978, 10249, 10249, 0
10.000896, 5.000918, 10402, 10402, 0
15.000895, 4.999999, 10389, 10389, 0
20.000898, 5.000003, 10248, 10248, 0
25.000897, 4.999999, 10145, 10145, 0
30.000891, 4.999994, 10129, 10129, 0
35.000907, 5.000016, 10213, 10213, 0
40.0009, 4.999993, 10398, 10398, 0
45.000892, 4.999992, 10325, 10325, 0
50.000898, 5.000006, 10581, 10581, 0
55.000892, 4.999994, 10576, 10576, 0
60.000891, 4.999999, 10326, 10326, 0
61.000847, 0.999956, 2048, 2048, 0
