elapsed, window, total, successful, failed
5.00024, 5.00024, 55113, 55113, 0
10.001237, 5.000997, 68899, 68899, 0
15.001317, 5.00008, 57822, 57822, 0
20.001227, 4.99991, 69705, 69705, 0
25.001181, 4.999954, 60468, 60468, 0
30.001206, 5.000025, 67006, 67006, 0
35.001228, 5.000022, 66561, 66561, 0
40.001177, 4.999949, 67791, 67791, 0
45.001197, 5.00002, 59886, 59886, 0
50.001365, 5.000168, 62656, 62656, 0
55.002198, 5.000833, 64228, 64228, 0
60.001248, 4.99905, 62588, 62588, 0
61.007563, 1.006315, 10511, 10511, 0
