elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000409, 5.000409, 79252, 737, 4000.6, 3829, 5090, 7791, 19430, 19994, 0
10.001356, 5.000947, 81579, 970, 3898.6, 3832, 4433, 5469, 19349, 19994, 0
15.001341, 4.999985, 78905, 858, 3960.6, 3883, 4498, 5886, 7586, 38781, 0
20.001343, 5.000002, 79288, 521, 3948.5, 3874, 4605, 5900, 9212, 12182, 0
25.001351, 5.000008, 74202, 324, 4158.1, 3948, 5571, 7232, 9852, 10852, 0
30.001337, 4.999986, 79251, 770, 4009.0, 3929, 4421, 5858, 9620, 66659, 0
35.001408, 5.000071, 80395, 903, 3919.0, 3874, 4443, 5580, 9158, 10700, 0
40.001347, 4.999939, 80759, 301, 3861.9, 3813, 4423, 5235, 6798, 9470, 0
45.001361, 5.000014, 79194, 395, 3936.8, 3798, 5148, 6902, 8718, 15421, 0
50.001347, 4.999986, 83821, 610, 3767.9, 3756, 4111, 4429, 5982, 12542, 0
55.001395, 5.000048, 80941, 924, 3857.7, 3745, 4111, 4740, 9391, 136494, 0
60.001385, 4.99999, 82664, 925, 3799.1, 3769, 4238, 5057, 7605, 11371, 0
61.002971, 1.001586, 14990, 755, 3808.2, 3778, 4284, 5034, 6625, 8068, 0
