elapsed, window, total, successful, failed
5.000393, 5.000392, 10280, 10280, 0
10.001096, 5.000703, 10391, 10391, 0
15.001092, 4.999996, 10497, 10497, 0
20.001096, 5.000004, 10477, 10477, 0
25.001091, 4.999995, 10137, 10137, 0
30.001091, 5.0, 10270, 10270, 0
35.001091, 5.0, 10210, 10210, 0
40.001099, 5.000008, 10260, 10260, 0
45.001086, 4.999987, 10406, 10406, 0
50.001094, 5.000008, 10277, 10277, 0
55.00109, 4.999996, 10350, 10350, 0
60.001096, 5.000006, 10252, 10252, 0
61.002296, 1.0012, 2057, 2057, 0
