elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.00078, 5.00078, 11852, 9117, 26825.5, 24327, 42318, 51936, 65552, 76783, 0
10.000717, 4.999937, 15086, 10401, 21339.8, 20067, 31106, 38566, 47115, 49625, 0
15.001727, 5.00101, 14077, 5845, 22468.8, 20497, 35006, 40633, 45420, 51458, 0
20.000865, 4.999138, 15126, 7081, 20974.8, 19924, 30813, 35921, 40169, 43526, 0
25.000727, 4.999862, 14877, 7410, 21207.0, 19896, 31412, 36684, 41506, 45030, 0
30.000722, 4.999995, 15292, 4246, 20884.7, 19922, 29749, 33890, 37759, 39468, 0
35.000728, 5.000006, 14304, 5100, 22002.1, 20263, 34193, 40715, 44534, 48475, 0
40.000732, 5.000004, 14009, 8670, 22704.3, 20544, 34429, 40028, 45399, 48475, 0
45.000724, 4.999992, 14803, 7544, 21641.9, 20140, 31454, 36796, 43192, 48776, 0
50.000737, 5.000013, 15399, 4980, 20718.9, 19805, 28674, 34292, 44853, 49102, 0
55.000722, 4.999985, 13590, 5924, 23143.7, 20885, 35436, 40288, 45419, 52588, 0
60.000724, 5.000002, 14227, 6215, 22373.3, 20327, 33626, 39274, 46585, 51171, 0
61.00109, 1.000366, 3090, 6215, 22020.0, 20183, 33225, 38482, 46387, 51171, 0
