elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
4.99994, 4.99994, 17788, 709, 8934.0, 6059, 27631, 41773, 54195, 62630, 0
10.000894, 5.000954, 11792, 614, 13425.8, 8855, 43305, 68594, 91867, 104627, 0
15.001513, 5.000619, 9556, 589, 16645.2, 10512, 53965, 84978, 114049, 142669, 0
20.000884, 4.999371, 8505, 487, 18630.5, 12740, 56386, 88474, 135041, 158350, 0
25.00088, 4.999996, 7638, 519, 20847.7, 13378, 68965, 101779, 136227, 148359, 0
30.000862, 4.999982, 6775, 588, 23407.3, 14839, 73926, 108892, 140033, 176589, 0
35.000867, 5.000005, 6726, 565, 23832.3, 15721, 76350, 115228, 150362, 161040, 0
40.000859, 4.999992, 6158, 565, 25842.5, 14449, 86378, 194833, 253490, 274720, 0
45.000868, 5.000009, 5917, 489, 26845.3, 15962, 88238, 137007, 197926, 257015, 0
50.000861, 4.999993, 5895, 562, 26885.9, 16883, 89306, 136654, 201176, 258237, 0
55.000859, 4.999998, 5566, 575, 28855.5, 16939, 97037, 159050, 211052, 238924, 0
60.000888, 5.000029, 5382, 564, 29626.4, 16701, 102049, 165786, 204945, 251854, 0
65.000862, 4.999974, 5216, 529, 30304.3, 18318, 104882, 161142, 235065, 246067, 0
70.000857, 4.999995, 5186, 489, 30723.0, 18479, 103144, 150806, 197744, 229964, 0
75.000865, 5.000008, 4877, 551, 32474.3, 18787, 113574, 166129, 265278, 315645, 0
80.00087, 5.000005, 4770, 553, 33519.4, 19035, 116376, 187703, 240804, 252109, 0
85.000864, 4.999994, 4720, 581, 33670.8, 19871, 114271, 179702, 229209, 257431, 0
90.000882, 5.000018, 4604, 529, 35028.4, 19954, 120776, 180891, 240929, 292486, 0
95.000918, 5.000036, 4537, 549, 35278.1, 20319, 117147, 194215, 271380, 287943, 0
100.000863, 4.999945, 4512, 528, 35278.7, 18641, 129714, 225654, 314852, 354341, 0
105.000965, 5.000102, 4298, 514, 36836.0, 20145, 127439, 185653, 253948, 272285, 0
110.000961, 4.999996, 4360, 527, 36875.3, 22009, 124120, 182673, 240189, 272385, 0
115.000957, 4.999996, 4198, 615, 37454.5, 21620, 129019, 195064, 231625, 260481, 0
120.001008, 5.000051, 4141, 537, 38499.6, 22460, 130426, 194082, 259790, 339559, 0
125.000962, 4.999954, 3920, 505, 40800.2, 24127, 133213, 192785, 252862, 314294, 0
130.000964, 5.000002, 3963, 519, 40219.2, 22174, 142090, 219784, 339881, 381570, 0
135.000864, 4.9999, 3761, 524, 42703.9, 19869, 162511, 333238, 461864, 491667, 0
140.000862, 4.999998, 3882, 522, 40820.2, 21688, 143308, 214236, 284345, 314578, 0
145.00091, 5.000048, 3724, 504, 43370.4, 21380, 159632, 289509, 429652, 478536, 0
150.000939, 5.000029, 3613, 566, 44336.3, 22504, 158244, 249429, 342023, 372693, 0
155.000987, 5.000048, 3538, 483, 44999.1, 23924, 160372, 257839, 377748, 450060, 0
160.000867, 4.99988, 3681, 532, 43616.5, 25143, 142196, 215816, 314295, 364649, 0
165.000895, 5.000028, 3759, 536, 41804.3, 22341, 141100, 227289, 403331, 414305, 0
170.000864, 4.999969, 3597, 475, 44239.9, 23741, 148950, 255382, 442560, 460884, 0
175.00098, 5.000116, 3440, 459, 47052.4, 20252, 195620, 315411, 511835, 564517, 0
180.000865, 4.999885, 3380, 460, 47296.4, 21256, 182123, 290240, 398267, 460731, 0
181.00094, 1.000075, 697, 460, 47273.4, 23718, 170707, 286495, 398267, 460731, 0
