elapsed, window, total, successful, failed
4.99994, 4.99994, 17788, 17788, 0
10.000894, 5.000954, 11792, 11792, 0
15.001513, 5.000619, 9556, 9556, 0
20.000884, 4.999371, 8505, 8505, 0
25.00088, 4.999996, 7638, 7638, 0
30.000862, 4.999982, 6775, 6775, 0
35.000867, 5.000005, 6726, 6726, 0
40.000859, 4.999992, 6158, 6158, 0
45.000868, 5.000009, 5917, 5917, 0
50.000861, 4.999993, 5895, 5895, 0
55.000859, 4.999998, 5566, 5566, 0
60.000888, 5.000029, 5382, 5382, 0
65.000862, 4.999974, 5216, 5216, 0
70.000857, 4.999995, 5186, 5186, 0
75.000865, 5.000008, 4877, 4877, 0
80.00087, 5.000005, 4770, 4770, 0
85.000864, 4.999994, 4720, 4720, 0
90.000882, 5.000018, 4604, 4604, 0
95.000918, 5.000036, 4537, 4537, 0
100.000863, 4.999945, 4512, 4512, 0
105.000965, 5.000102, 4298, 4298, 0
110.000961, 4.999996, 4360, 4360, 0
115.000957, 4.999996, 4198, 4198, 0
120.001008, 5.000051, 4141, 4141, 0
125.000962, 4.999954, 3920, 3920, 0
130.000964, 5.000002, 3963, 3963, 0
135.000864, 4.9999, 3761, 3761, 0
140.000862, 4.999998, 3882, 3882, 0
145.00091, 5.000048, 3724, 3724, 0
150.000939, 5.000029, 3613, 3613, 0
155.000987, 5.000048, 3538, 3538, 0
160.000867, 4.99988, 3681, 3681, 0
165.000895, 5.000028, 3759, 3759, 0
170.000864, 4.999969, 3597, 3597, 0
175.00098, 5.000116, 3440, 3440, 0
180.000865, 4.999885, 3380, 3380, 0
181.00094, 1.000075, 697, 697, 0
