elapsed, window, total, successful, failed
5.000649, 5.000649, 10180, 10180, 0
10.001558, 5.000909, 10411, 10411, 0
15.001571, 5.000013, 10306, 10306, 0
20.001577, 5.000006, 10299, 10299, 0
25.001551, 4.999974, 10378, 10378, 0
30.001558, 5.000007, 10302, 10302, 0
35.001582, 5.000024, 10369, 10369, 0
40.001554, 4.999972, 10369, 10369, 0
45.001562, 5.000008, 10364, 10364, 0
50.00163, 5.000068, 10221, 10221, 0
55.001544, 4.999914, 10306, 10306, 0
60.001593, 5.000049, 10258, 10258, 0
61.001899, 1.000306, 2047, 2047, 0
