elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000642, 5.000642, 7571, 543, 4268.7, 3536, 9556, 12805, 17063, 17806, 0
10.000759, 5.000117, 5831, 727, 4953.8, 3924, 11797, 15449, 18914, 21556, 0
15.00071, 4.999951, 5313, 622, 5237.2, 3946, 13117, 18008, 22228, 23260, 0
20.001129, 5.000419, 4493, 591, 5640.8, 4176, 14838, 20243, 26250, 35928, 0
25.000652, 4.999523, 4294, 605, 5650.0, 3967, 15613, 21863, 26970, 32895, 0
30.00064, 4.999988, 4022, 644, 5865.5, 4009, 16833, 22763, 29785, 32895, 0
35.000648, 5.000008, 3753, 570, 6145.7, 4070, 18629, 26341, 35392, 40739, 0
40.000644, 4.999996, 3703, 570, 6184.4, 3941, 19180, 26793, 38736, 44636, 0
45.000654, 5.00001, 3452, 582, 6589.7, 4200, 20815, 30782, 40815, 45479, 0
50.000687, 5.000033, 3276, 537, 6274.6, 3692, 21397, 29438, 37122, 42874, 0
55.000644, 4.999957, 3315, 603, 6105.2, 3624, 20428, 30018, 40176, 48292, 0
60.000638, 4.999994, 3241, 603, 6159.9, 3260, 21185, 32196, 40371, 51549, 0
65.000642, 5.000004, 3045, 607, 6606.3, 3625, 23197, 34196, 47757, 53577, 0
70.00086, 5.000218, 2990, 610, 6835.9, 3463, 23777, 34941, 46185, 50414, 0
75.00064, 4.99978, 2861, 616, 6928.8, 3491, 24366, 39697, 57505, 59814, 0
80.00065, 5.00001, 2875, 627, 6645.4, 3426, 24999, 37554, 55551, 73325, 0
85.000656, 5.000006, 2848, 610, 6901.0, 3267, 25309, 40274, 57001, 64535, 0
90.000663, 5.000007, 2698, 561, 6950.7, 3273, 26793, 39639, 47252, 62937, 0
95.000676, 5.000013, 2669, 593, 6692.1, 2883, 26948, 38851, 47252, 91767, 0
100.000633, 4.999957, 2622, 470, 6676.2, 3068, 25693, 40196, 50685, 61811, 0
105.000647, 5.000014, 2523, 545, 6832.3, 3051, 27466, 38214, 56488, 71750, 0
110.000643, 4.999996, 2574, 497, 7057.4, 3287, 28297, 43485, 54057, 67790, 0
115.000638, 4.999995, 2514, 509, 7196.6, 3203, 29308, 44311, 54057, 60959, 0
120.000632, 4.999994, 2494, 532, 7613.2, 3521, 29342, 45109, 57715, 67541, 0
125.000643, 5.000011, 2301, 575, 7513.8, 3061, 29825, 47888, 75177, 91807, 0
130.000641, 4.999998, 2261, 578, 7589.7, 3790, 31307, 45885, 60115, 67935, 0
135.000631, 4.99999, 2219, 552, 7757.4, 3509, 32373, 50383, 64640, 85230, 0
140.000646, 5.000015, 2135, 577, 7250.4, 3184, 30875, 47914, 63117, 80364, 0
145.000639, 4.999993, 2147, 565, 7628.0, 3307, 31481, 50846, 59046, 101412, 0
150.000642, 5.000003, 2277, 584, 7396.4, 3433, 28644, 48803, 62895, 68880, 0
155.000648, 5.000006, 2178, 515, 7792.7, 3347, 30933, 55956, 73844, 112262, 0
160.000638, 4.99999, 2087, 598, 7691.7, 3104, 32296, 55953, 76294, 102434, 0
165.000642, 5.000004, 2139, 588, 7636.1, 2980, 31820, 51498, 83785, 92603, 0
170.000653, 5.000011, 2066, 538, 7688.4, 2971, 32868, 56527, 72799, 83113, 0
175.00064, 4.999987, 1997, 578, 8040.2, 3608, 34036, 62438, 82838, 84910, 0
180.000644, 5.000004, 1944, 578, 8582.3, 3723, 35732, 57879, 68233, 80321, 0
181.000885, 1.000241, 401, 622, 8697.9, 3843, 34983, 56569, 66485, 68233, 0
