elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000089, 5.000089, 301, 35116, 562708.5, 592025, 690720, 720867, 730329, 730329, 0
10.001113, 5.001024, 313, 499809, 632960.4, 634066, 732707, 762019, 770514, 770514, 0
15.000979, 4.999866, 321, 557247, 663915.2, 661966, 744469, 762019, 770514, 770514, 0
20.000984, 5.000005, 331, 556458, 632186.0, 631809, 681527, 699293, 713258, 713258, 0
25.000981, 4.999997, 328, 529810, 606723.8, 609337, 651869, 662329, 670770, 670770, 0
30.000979, 4.999998, 309, 550633, 669352.5, 668343, 777743, 801436, 804780, 804780, 0
35.000981, 5.000002, 314, 565717, 665240.2, 671918, 731959, 751189, 758985, 758985, 0
40.000976, 4.999995, 308, 553049, 626536.2, 621674, 697749, 721571, 729920, 729920, 0
45.000978, 5.000002, 312, 553424, 643895.8, 646232, 705665, 725122, 729920, 729920, 0
50.000976, 4.999998, 315, 581285, 688606.6, 681771, 774710, 784114, 795255, 795255, 0
55.000981, 5.000005, 334, 541851, 650576.9, 651004, 706440, 732134, 760970, 760970, 0
60.000981, 5.0, 327, 489311, 591976.1, 592338, 656075, 678847, 687515, 687515, 0
61.001065, 1.000084, 64, 489311, 591293.7, 592703, 644850, 660018, 663999, 663999, 0
