elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000089, 5.000089, 315, 10947, 414801.5, 462372, 665023, 725419, 731893, 731893, 0
10.001113, 5.001024, 318, 5312, 362480.7, 271737, 680317, 735712, 769433, 769433, 0
15.000979, 4.999866, 340, 5312, 330567.3, 117306, 722290, 745056, 769433, 769433, 0
20.000984, 5.000005, 307, 12682, 368847.3, 360109, 670756, 699721, 719256, 719256, 0
25.000981, 4.999997, 324, 8500, 371206.8, 372608, 634410, 652445, 676557, 676557, 0
30.000979, 4.999998, 307, 8618, 358245.4, 326326, 767389, 799782, 806405, 806405, 0
35.000981, 5.000002, 315, 8618, 350878.9, 256299, 725889, 746243, 779929, 779929, 0
40.000976, 4.999995, 325, 10659, 390477.1, 414067, 666213, 709538, 732407, 732407, 0
45.000978, 5.000002, 292, 6421, 410784.3, 407875, 688873, 715227, 732407, 732407, 0
50.000976, 4.999998, 269, 5312, 360272.0, 222377, 761442, 783684, 789169, 789169, 0
55.000981, 5.000005, 328, 9026, 336346.3, 203560, 678236, 694897, 732283, 732283, 0
60.000981, 5.0, 333, 11501, 367823.3, 495264, 637463, 677873, 687395, 687395, 0
61.001065, 1.000084, 60, 11501, 379756.4, 515052, 636610, 650746, 668750, 668750, 0
