elapsed, window, total, successful, failed
5.000651, 5.000651, 15456, 15456, 0
10.00161, 5.000959, 14504, 14504, 0
15.001666, 5.000056, 14389, 14389, 0
20.00178, 5.000114, 15471, 15471, 0
25.001899, 5.000119, 15968, 15968, 0
30.000565, 4.998666, 15101, 15101, 0
35.00155, 5.000985, 14476, 14476, 0
40.001596, 5.000046, 14771, 14771, 0
45.001573, 4.999977, 14608, 14608, 0
50.001604, 5.000031, 14718, 14718, 0
55.001608, 5.000004, 15016, 15016, 0
60.001608, 5.0, 13639, 13639, 0
61.00208, 1.000472, 2956, 2956, 0
