elapsed, window, total, successful, failed
5.000394, 5.000394, 37655, 37655, 0
10.001083, 5.000689, 37804, 37804, 0
15.00108, 4.999997, 37924, 37924, 0
20.0011, 5.00002, 37680, 37680, 0
25.001082, 4.999982, 37790, 37790, 0
30.001075, 4.999993, 37935, 37935, 0
35.001076, 5.000001, 38225, 38225, 0
40.00108, 5.000004, 37764, 37764, 0
45.001093, 5.000013, 38038, 38038, 0
50.001083, 4.99999, 38650, 38650, 0
55.001078, 4.999995, 34668, 34668, 0
60.001085, 5.000007, 38667, 38667, 0
61.000934, 0.999849, 7450, 7450, 0
