elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000135, 5.000134, 5785, 3515, 13783.9, 13786, 15047, 15601, 18846, 22851, 0
10.001138, 5.001003, 5888, 1908, 13583.1, 13578, 14609, 15211, 15657, 16267, 0
15.00113, 4.999992, 5868, 2084, 13618.4, 13623, 14703, 15255, 15813, 16083, 0
20.001133, 5.000003, 5667, 1814, 14079.6, 14093, 15241, 15723, 16333, 16711, 0
25.001139, 5.000006, 5689, 2855, 14061.4, 14061, 15161, 15616, 16287, 16755, 0
30.001137, 4.999998, 5658, 2072, 14101.4, 14117, 15237, 15768, 16275, 17811, 0
35.001128, 4.999991, 5726, 3208, 13997.2, 14029, 15400, 16009, 22215, 24679, 0
40.001135, 5.000007, 5883, 3208, 13625.1, 13612, 14828, 15424, 17828, 23728, 0
45.001129, 4.999994, 5810, 1830, 13735.8, 13704, 14842, 15325, 15816, 16444, 0
50.001132, 5.000003, 5689, 2243, 13964.2, 13998, 15118, 15697, 20957, 26008, 0
55.00114, 5.000008, 5787, 6407, 13827.9, 13866, 14929, 15390, 19866, 25847, 0
60.001135, 4.999995, 5859, 2877, 13608.0, 13620, 14910, 15641, 20799, 22076, 0
61.000617, 0.999482, 1176, 2035, 13644.2, 13662, 14979, 15696, 20814, 22071, 0
