elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
4.999732, 4.999732, 83393, 310, 3794.4, 3592, 5328, 6278, 11430, 17734, 0
10.000809, 5.001077, 85995, 355, 3642.2, 3476, 4837, 5764, 10510, 17734, 0
15.000809, 5.0, 82423, 290, 3769.2, 3645, 4990, 6237, 11069, 26292, 0
20.000741, 4.999932, 85298, 290, 3653.9, 3540, 4790, 5713, 8836, 13848, 0
25.001374, 5.000633, 90726, 638, 3511.9, 3370, 4548, 5697, 9563, 54153, 0
30.005762, 5.004388, 88780, 321, 3503.7, 3385, 4606, 5687, 7769, 12509, 0
35.000734, 4.994972, 85184, 363, 3624.5, 3503, 4728, 5942, 9951, 21892, 0
40.000807, 5.000073, 82842, 297, 3729.7, 3581, 5087, 6563, 9420, 11157, 0
45.000733, 4.999926, 93225, 297, 3459.0, 3328, 4805, 6140, 8607, 12478, 0
50.000739, 5.000006, 82607, 318, 3693.5, 3474, 4962, 6167, 8605, 112875, 0
55.000734, 4.999995, 82916, 357, 3754.7, 3635, 5004, 6117, 7906, 12482, 0
60.000733, 4.999999, 82903, 370, 3739.4, 3603, 5043, 5978, 10574, 14540, 0
65.00076, 5.000027, 84296, 370, 3713.5, 3548, 5070, 6177, 9176, 13759, 0
70.000766, 5.000006, 83147, 309, 3720.4, 3547, 5137, 6546, 10103, 15115, 0
75.000789, 5.000023, 86023, 374, 3625.2, 3494, 4771, 6520, 8711, 16277, 0
80.000845, 5.000056, 78117, 522, 3951.8, 3826, 5336, 6470, 8958, 13301, 0
85.000734, 4.999889, 82188, 321, 3838.9, 3694, 5185, 6677, 9652, 11344, 0
90.000738, 5.000004, 90753, 309, 3496.2, 3393, 4409, 5611, 8664, 12605, 0
95.000794, 5.000056, 84290, 381, 3638.1, 3506, 4769, 5871, 11132, 12667, 0
100.000796, 5.000002, 79884, 377, 3889.0, 3603, 5017, 6210, 10990, 228192, 0
105.000789, 4.999993, 82378, 355, 3725.2, 3567, 5037, 6163, 7942, 11309, 0
110.000764, 4.999975, 80675, 414, 3888.3, 3735, 5353, 6435, 8505, 12736, 0
115.000788, 5.000024, 86793, 550, 3639.9, 3484, 4837, 5859, 8540, 10782, 0
120.000756, 4.999968, 84163, 863, 3709.3, 3573, 4926, 5781, 8656, 10589, 0
125.000765, 5.000009, 83057, 347, 3796.6, 3675, 5020, 6238, 8784, 12273, 0
130.000746, 4.999981, 81381, 344, 3790.7, 3644, 5145, 6329, 8894, 11963, 0
135.000735, 4.999989, 85917, 320, 3652.0, 3507, 4824, 6338, 9834, 11981, 0
140.000891, 5.000156, 82214, 375, 3762.4, 3617, 5074, 6212, 8876, 11201, 0
145.000748, 4.999857, 84055, 343, 3706.3, 3560, 5048, 6210, 9249, 13953, 0
150.000793, 5.000045, 82793, 375, 3801.9, 3644, 5218, 6248, 10036, 13668, 0
155.000753, 4.99996, 83560, 338, 3766.7, 3651, 4993, 6317, 9303, 10310, 0
160.000739, 4.999986, 77275, 393, 3971.8, 3770, 5661, 6953, 9568, 15166, 0
165.000762, 5.000023, 82106, 372, 3805.2, 3671, 5171, 6225, 7773, 13395, 0
170.00079, 5.000028, 81524, 322, 3804.2, 3645, 5253, 6545, 9184, 10722, 0
175.000736, 4.999946, 80772, 320, 3844.0, 3697, 5187, 6402, 9134, 12922, 0
180.000745, 5.000009, 82376, 316, 3800.3, 3669, 5045, 6080, 9682, 12922, 0
181.001417, 1.000672, 15927, 316, 3770.7, 3628, 5038, 6243, 9510, 11939, 0
