elapsed, window, total, successful, failed
4.999732, 4.999732, 83393, 83393, 0
10.000809, 5.001077, 85995, 85995, 0
15.000809, 5.0, 82423, 82423, 0
20.000741, 4.999932, 85298, 85298, 0
25.001374, 5.000633, 90726, 90726, 0
30.005762, 5.004388, 88780, 88780, 0
35.000734, 4.994972, 85184, 85184, 0
40.000807, 5.000073, 82842, 82842, 0
45.000733, 4.999926, 93225, 93225, 0
50.000739, 5.000006, 82607, 82607, 0
55.000734, 4.999995, 82916, 82916, 0
60.000733, 4.999999, 82903, 82903, 0
65.00076, 5.000027, 84296, 84296, 0
70.000766, 5.000006, 83147, 83147, 0
75.000789, 5.000023, 86023, 86023, 0
80.000845, 5.000056, 78117, 78117, 0
85.000734, 4.999889, 82188, 82188, 0
90.000738, 5.000004, 90753, 90753, 0
95.000794, 5.000056, 84290, 84290, 0
100.000796, 5.000002, 79884, 79884, 0
105.000789, 4.999993, 82378, 82378, 0
110.000764, 4.999975, 80675, 80675, 0
115.000788, 5.000024, 86793, 86793, 0
120.000756, 4.999968, 84163, 84163, 0
125.000765, 5.000009, 83057, 83057, 0
130.000746, 4.999981, 81381, 81381, 0
135.000735, 4.999989, 85917, 85917, 0
140.000891, 5.000156, 82214, 82214, 0
145.000748, 4.999857, 84055, 84055, 0
150.000793, 5.000045, 82793, 82793, 0
155.000753, 4.99996, 83560, 83560, 0
160.000739, 4.999986, 77275, 77275, 0
165.000762, 5.000023, 82106, 82106, 0
170.00079, 5.000028, 81524, 81524, 0
175.000736, 4.999946, 80772, 80772, 0
180.000745, 5.000009, 82376, 82376, 0
181.001417, 1.000672, 15927, 15927, 0
