elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000561, 5.000561, 45607, 539, 6580.0, 6351, 9719, 12485, 16492, 19391, 0
10.001489, 5.000928, 37012, 973, 8136.9, 7818, 12287, 15466, 21363, 23551, 0
15.001749, 5.00026, 33518, 1852, 9039.8, 8793, 13501, 15996, 18388, 20237, 0
20.00149, 4.999741, 30962, 2156, 9859.3, 9527, 14995, 17241, 22106, 25709, 0
25.001466, 4.999976, 27621, 1515, 11073.5, 10706, 17253, 20595, 26223, 28477, 0
30.001459, 4.999993, 26897, 943, 11394.8, 11144, 17336, 20487, 32908, 35716, 0
35.001491, 5.000032, 25067, 2120, 12236.9, 11807, 19739, 23792, 29077, 30356, 0
40.001468, 4.999977, 23813, 1195, 12907.0, 12607, 20302, 26534, 31579, 32933, 0
45.001457, 4.999989, 22705, 1933, 13545.1, 13355, 21672, 25832, 31138, 34804, 0
50.001555, 5.000098, 22319, 862, 13777.0, 13289, 23171, 29030, 33380, 34778, 0
55.00148, 4.999925, 20655, 2436, 14860.8, 14322, 24784, 30508, 39182, 39923, 0
60.004218, 5.002738, 21278, 3339, 14510.9, 14127, 24453, 28959, 35948, 37073, 0
65.000458, 4.99624, 20901, 1233, 14730.5, 13941, 25563, 30589, 36247, 41187, 0
70.001746, 5.001288, 19231, 1919, 16058.4, 15801, 27157, 30818, 40194, 41416, 0
75.000475, 4.998729, 18654, 3842, 16585.0, 16208, 28566, 34553, 83769, 84149, 0
80.001476, 5.001001, 18285, 2887, 16883.4, 16614, 28966, 35829, 39473, 54880, 0
85.001478, 5.000002, 18409, 2596, 16844.6, 16331, 29178, 36322, 47684, 48472, 0
90.001471, 4.999993, 18486, 1472, 16751.9, 15929, 29686, 35924, 56275, 57956, 0
95.001467, 4.999996, 17805, 1029, 17447.6, 16578, 30947, 37270, 49943, 51137, 0
100.001492, 5.000025, 17960, 1090, 17294.3, 16669, 30684, 38482, 45196, 53621, 0
105.001489, 4.999997, 17554, 1041, 17627.8, 16877, 31314, 35779, 49496, 50342, 0
110.001468, 4.999979, 17246, 671, 17986.2, 17490, 32003, 41221, 63265, 63804, 0
115.001471, 5.000003, 16714, 950, 18603.0, 17835, 34237, 41919, 46727, 56406, 0
120.001469, 4.999998, 16322, 2030, 19025.3, 18311, 34356, 38805, 49375, 51582, 0
125.001471, 5.000002, 17473, 4462, 17848.9, 15991, 33762, 42215, 51323, 54312, 0
130.001461, 4.99999, 16247, 4233, 19063.7, 17779, 35899, 42315, 55698, 56769, 0
135.001473, 5.000012, 16218, 2482, 19148.6, 18124, 36432, 42280, 49089, 51797, 0
140.001468, 4.999995, 15950, 745, 19485.5, 18210, 37574, 46941, 60962, 62060, 0
145.001468, 5.0, 15768, 3748, 19682.6, 17817, 39302, 48599, 65470, 66219, 0
150.00153, 5.000062, 15741, 4127, 19675.3, 19524, 37180, 44725, 49559, 62887, 0
155.002129, 5.000599, 15284, 4754, 20387.0, 18780, 39119, 45130, 49767, 53406, 0
160.000479, 4.99835, 15763, 3890, 19708.7, 17298, 38465, 45609, 52942, 53157, 0
165.001462, 5.000983, 14693, 1738, 21136.4, 18949, 42602, 51637, 62213, 62578, 0
170.001473, 5.000011, 14951, 1668, 20837.1, 18445, 41700, 48675, 56031, 56274, 0
175.001573, 5.0001, 14806, 4227, 21136.6, 18715, 41332, 48599, 56937, 68500, 0
180.001455, 4.999882, 14502, 1374, 21326.9, 19477, 42568, 50257, 54357, 56170, 0
181.001956, 1.000501, 2804, 1759, 21495.1, 19644, 44009, 53157, 57277, 59439, 0
