elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000275, 5.000275, 12619, 727, 5275.1, 4065, 13249, 17536, 23095, 34724, 0
10.001329, 5.001054, 9061, 604, 6488.0, 4751, 17670, 23914, 30573, 40689, 0
15.00132, 4.999991, 7558, 575, 7423.6, 5178, 21317, 29487, 38973, 50538, 0
20.001269, 4.999949, 6743, 609, 8017.3, 5194, 24289, 36047, 47668, 50619, 0
25.001344, 5.000075, 6156, 604, 8571.8, 5050, 26539, 38865, 56128, 67065, 0
30.001328, 4.999984, 5776, 586, 9026.5, 5122, 29145, 41691, 56815, 68078, 0
35.001276, 4.999948, 5456, 510, 9589.3, 5942, 30293, 41901, 61667, 89440, 0
40.001422, 5.000146, 4988, 561, 9656.8, 5128, 32865, 46010, 68104, 89374, 0
45.00127, 4.999848, 4788, 508, 10138.9, 5059, 34826, 54601, 71712, 78626, 0
50.001342, 5.000072, 4682, 576, 10631.9, 5288, 37209, 53678, 70134, 85662, 0
55.001329, 4.999987, 4657, 534, 9793.8, 4583, 35529, 54289, 82206, 89223, 0
60.001337, 5.000008, 4418, 503, 10877.5, 5043, 39737, 53587, 73589, 83460, 0
65.001271, 4.999934, 4325, 522, 10774.7, 4881, 39949, 59235, 88726, 93097, 0
70.00127, 4.999999, 4096, 499, 10946.7, 4794, 41339, 63531, 87231, 98097, 0
75.001461, 5.000191, 4017, 511, 11123.5, 4782, 42817, 62654, 80700, 89180, 0
80.001332, 4.999871, 3625, 519, 12005.3, 4870, 46665, 70992, 101125, 116146, 0
85.001333, 5.000001, 3720, 512, 11755.8, 5464, 43895, 64727, 105355, 144066, 0
90.001268, 4.999935, 3751, 494, 12394.4, 5170, 48224, 71234, 103414, 119958, 0
95.001258, 4.99999, 3509, 541, 11912.7, 4928, 46895, 69383, 103445, 112708, 0
100.001266, 5.000008, 3463, 523, 12362.0, 5324, 47120, 68851, 105873, 106512, 0
105.001268, 5.000002, 3598, 516, 11881.0, 4606, 47661, 68288, 93223, 99609, 0
110.001257, 4.999989, 3162, 472, 12668.9, 4929, 53640, 86483, 104426, 125412, 0
115.001269, 5.000012, 3294, 524, 12015.6, 4916, 48962, 74177, 106436, 121344, 0
120.001266, 4.999997, 3085, 544, 13418.9, 4757, 55794, 84154, 131450, 145774, 0
125.001286, 5.00002, 3182, 592, 13295.3, 4949, 52250, 75209, 124318, 142759, 0
130.001257, 4.999971, 3117, 577, 13661.8, 5526, 52458, 82161, 117883, 144027, 0
135.001264, 5.000007, 3076, 403, 13454.3, 5393, 54267, 85218, 109397, 195282, 0
140.001324, 5.00006, 3209, 479, 13262.5, 5083, 51384, 81547, 114311, 126042, 0
145.001344, 5.00002, 2939, 550, 14610.2, 5226, 57757, 85564, 122043, 140003, 0
150.001364, 5.00002, 2914, 524, 14118.7, 4748, 57959, 91280, 135190, 149816, 0
155.001342, 4.999978, 2769, 527, 14873.1, 4545, 63782, 95419, 148783, 177133, 0
160.001275, 4.999933, 2807, 512, 13418.4, 4957, 55233, 94296, 122875, 127924, 0
165.001265, 4.99999, 2707, 608, 14773.6, 5195, 64692, 96276, 117936, 178176, 0
170.00134, 5.000075, 2823, 589, 14537.2, 4872, 62253, 97676, 163501, 173840, 0
175.001269, 4.999929, 2779, 562, 14090.6, 4694, 58575, 85221, 127042, 148139, 0
180.001274, 5.000005, 2677, 520, 15199.1, 5051, 64171, 99997, 149636, 174509, 0
181.001898, 1.000624, 533, 519, 14961.0, 4976, 62591, 92323, 144577, 158969, 0
