elapsed, window, total, successful, failed
5.000648, 5.000648, 25913, 25913, 0
10.001684, 5.001036, 18032, 18032, 0
15.00035, 4.998666, 14915, 14915, 0
20.001358, 5.001008, 13315, 13315, 0
25.001353, 4.999995, 12047, 12047, 0
30.001356, 5.000003, 11325, 11325, 0
35.00134, 4.999984, 10315, 10315, 0
40.001343, 5.000003, 10220, 10220, 0
45.00133, 4.999987, 9008, 9008, 0
50.00138, 5.00005, 9427, 9427, 0
55.001405, 5.000025, 8593, 8593, 0
60.001352, 4.999947, 8424, 8424, 0
65.001339, 4.999987, 8371, 8371, 0
70.001349, 5.00001, 7907, 7907, 0
75.001349, 5.0, 8191, 8191, 0
80.001346, 4.999997, 7674, 7674, 0
85.001347, 5.000001, 7292, 7292, 0
90.001385, 5.000038, 7087, 7087, 0
95.001348, 4.999963, 7182, 7182, 0
100.001338, 4.99999, 6718, 6718, 0
105.001396, 5.000058, 6691, 6691, 0
110.001344, 4.999948, 6469, 6469, 0
115.00134, 4.999996, 6096, 6096, 0
120.001347, 5.000007, 6175, 6175, 0
125.001353, 5.000006, 6145, 6145, 0
130.001339, 4.999986, 6187, 6187, 0
135.001346, 5.000007, 5806, 5806, 0
140.001345, 4.999999, 5595, 5595, 0
145.00136, 5.000015, 5531, 5531, 0
150.001355, 4.999995, 5736, 5736, 0
155.001341, 4.999986, 5608, 5608, 0
160.001344, 5.000003, 5245, 5245, 0
165.001344, 5.0, 5362, 5362, 0
170.00147, 5.000126, 4880, 4880, 0
175.001339, 4.999869, 5412, 5412, 0
180.001356, 5.000017, 5139, 5139, 0
181.001773, 1.000417, 1039, 1039, 0
